uid,city_name,offense_code,offense_type,offense_group,offense_against,date_single,longitude,latitude,location_type,location_category,census_block
2024610,Chicago,23D,theft from building,larceny/theft offenses,property,2012-03-19 18:00,-87.651093,41.742426,residence,residence,170317110001004
2024642,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-19 18:36,-87.766628,41.895383,street,street,170312513002010
2024683,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-19 19:20,-87.641915,41.735878,street,street,170317115002002
2024684,Chicago,13A,aggravated assault,assault offenses,persons,2012-03-19 19:21,-87.760684,41.880301,street,street,170312519004013
2024708,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-03-19 19:50,-87.609632,41.656911,bus,transportation,170315401023002
2024817,Chicago,13B,simple assault,assault offenses,persons,2012-03-19 21:35,-87.55834,41.736708,residence,residence,170314606001004
2024853,Chicago,13B,simple assault,assault offenses,persons,2012-03-19 22:15,-87.67634,41.823944,street,street,170315905001041
2024886,Chicago,13B,simple assault,assault offenses,persons,2012-03-19 23:00,-87.602696,41.77863,street,street,170314208001001
2024965,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-20 01:00,-87.767314,41.882206,residence,residence,170312520002010
2025019,Chicago,13B,simple assault,assault offenses,persons,2012-03-20 04:10,-87.688081,41.940676,bar/club,leisure,170310510001007
2025091,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-20 08:00,-87.690542,41.830177,vehicle parking,open space,170315801001001
2025214,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-20 10:29,-87.57222,41.745558,residence,residence,170314605004001
2025257,Chicago,13B,simple assault,assault offenses,persons,2012-03-20 11:30,-87.743789,41.875037,residence,residence,170312522023017
2025334,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-20 13:00,-87.641414,41.779803,other,other,170316809004003
2025554,Chicago,13B,simple assault,assault offenses,persons,2012-03-20 17:50,-87.653683,41.721326,other retail,retail,170317304002000
2025717,Chicago,90Z,all other offenses,all other offenses,other,2012-03-20 20:45,-87.707506,41.845545,residence,residence,170313008002011
2025846,Chicago,13B,simple assault,assault offenses,persons,2012-03-20 22:50,-87.660275,41.753383,residence,residence,170317103001008
2025910,Chicago,13A,aggravated assault,assault offenses,persons,2012-03-21 00:25,-87.561476,41.756634,residence,residence,170314313023003
2025914,Chicago,13B,simple assault,assault offenses,persons,2012-03-21 00:30,-87.771694,41.901171,residence,residence,170312513004004
2026148,Chicago,13B,simple assault,assault offenses,persons,2012-03-21 09:15,-87.746057,41.874056,residence,residence,170312522025010
2026333,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-21 13:00,-87.572998,41.737094,school,education,170314801001009
2026379,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-03-21 14:00,-87.708279,41.787162,residence,residence,170316309002005
2026488,Chicago,90Z,all other offenses,all other offenses,other,2012-03-21 15:50,-87.722908,41.783887,private vehicle,vehicle,170316502001022
2026669,Chicago,13B,simple assault,assault offenses,persons,2012-03-21 19:00,-87.727987,41.836385,street,street,170318305001019
2026686,Chicago,90Z,all other offenses,all other offenses,other,2012-03-21 19:13,-87.76584,41.894847,residence,residence,170312514001000
2026688,Chicago,12A,personal robbery,robbery,property,2012-03-21 19:17,-87.70746,41.84384,street,street,170318408001003
2026814,Chicago,200,arson,arson,property,2012-03-21 21:15,-87.722506,41.885985,private vehicle,vehicle,170312601001005
2027131,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-22 07:45,-87.628553,41.82127,residence,residence,170313805001003
2027141,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-03-22 08:00,-87.637128,41.720791,residence,residence,170317305004017
2027158,Chicago,23C,shoplifting,larceny/theft offenses,property,2012-03-22 08:30,-87.586109,41.757524,other retail,retail,170318342002025
2027255,Chicago,13B,simple assault,assault offenses,persons,2012-03-22 10:40,-87.712535,41.850784,street,street,170313007001005
2027345,Chicago,13B,simple assault,assault offenses,persons,2012-03-22 12:00,-87.764584,41.872785,street,street,170318314002003
2027359,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-22 12:14,-87.795044,41.917098,street,street,170312505005017
2027458,Chicago,13B,simple assault,assault offenses,persons,2012-03-22 14:20,-87.720896,41.74946,school,education,170317004012009
2027459,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-22 14:20,-87.576096,41.756605,school,education,170318342002016
2027553,Chicago,13B,simple assault,assault offenses,persons,2012-03-22 16:15,-87.588998,41.80531,government,government,170313907002006
2027713,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-22 19:05,-87.682474,41.970526,vehicle parking,open space,170310404014008
2027716,Chicago,13B,simple assault,assault offenses,persons,2012-03-22 19:10,-87.660919,41.79311,street,street,170316702001009
2028024,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-23 03:00,-87.613871,41.757975,street,street,170316914005002
2028160,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-23 09:00,-87.614818,41.863197,vehicle parking,open space,170313301004017
2028275,Chicago,90Z,all other offenses,all other offenses,other,2012-03-23 11:15,-87.698256,41.992738,school,education,170310208022005
2028361,Chicago,23C,shoplifting,larceny/theft offenses,property,2012-03-23 13:00,-87.685081,41.881184,healthcare,healthcare,170318378001043
2028455,Chicago,23C,shoplifting,larceny/theft offenses,property,2012-03-23 14:45,-87.628069,41.73626,supermarket,retail,170318424002040
2028457,Chicago,13B,simple assault,assault offenses,persons,2012-03-23 14:45,-87.721076,41.710887,school,education,170317402001001
2028651,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-03-23 18:30,-87.652281,41.834877,street,street,170318397003004
2028737,Chicago,13A,aggravated assault,assault offenses,persons,2012-03-23 20:30,-87.638814,41.75983,residence,residence,170316813002015
2028800,Chicago,23D,theft from building,larceny/theft offenses,property,2012-03-23 21:45,-87.633197,41.894002,bar/club,leisure,170310817002009
2028858,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-23 22:30,-87.747342,41.954781,street,street,170311502003000
2028864,Chicago,520,weapon law violations,weapon law violations,society,2012-03-23 22:38,-87.675755,41.802584,street,street,170316115002021
2028969,Chicago,13B,simple assault,assault offenses,persons,2012-03-24 01:00,-87.627883,41.883621,street,street,170318391001067
2029093,Chicago,13B,simple assault,assault offenses,persons,2012-03-24 06:30,-87.670939,41.998072,bus,transportation,170318306003009
2029105,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-24 08:00,-87.6319,41.834592,street,street,170313405001033
2029260,Chicago,90Z,all other offenses,all other offenses,other,2012-03-24 12:05,-87.611361,41.824852,residence,residence,170313602001008
2029491,Chicago,23D,theft from building,larceny/theft offenses,property,2012-03-24 17:00,-87.695678,41.773006,residence,residence,170316608004007
2029588,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-24 19:00,-87.761613,41.87454,street,street,170312521023003
2029614,Chicago,13B,simple assault,assault offenses,persons,2012-03-24 19:30,-87.631372,41.721623,bus,transportation,170314906001011
2029730,Chicago,13B,simple assault,assault offenses,persons,2012-03-24 22:00,-87.560182,41.763626,bus,transportation,170314314001000
2029740,Chicago,13A,aggravated assault,assault offenses,persons,2012-03-24 22:09,-87.689552,41.905482,residence,residence,170312411001015
2030174,Chicago,13B,simple assault,assault offenses,persons,2012-03-25 12:00,-87.679356,41.856708,street,street,170318412003000
2030182,Chicago,23D,theft from building,larceny/theft offenses,property,2012-03-25 12:00,-87.706389,41.849041,residence,residence,170313008001022
2030289,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-03-25 15:00,-87.679665,41.77116,residence,residence,170316607002015
2030457,Chicago,13B,simple assault,assault offenses,persons,2012-03-25 18:20,-87.612834,41.810349,street,street,170313812002011
